"zielony","czerwony","nir1","nir2","ndvi","klasa"
74,79,82,65,0.019,"gleba szara bardzo wilgotna"
70,84,97,80,0.072,"gleba szara bardzo wilgotna"
67,75,89,76,0.085,"roslinnosc na sciernisku"
70,75,89,76,0.085,"roslinnosc na sciernisku"
67,79,85,65,0.037,"gleba szara wilgotna"
44,31,110,129,0.56,"uprawa bawelny"
44,29,101,115,0.554,"uprawa bawelny"
80,106,102,79,-0.019,"gleba szara wilgotna"
64,73,82,61,0.058,"gleba szara bardzo wilgotna"
64,73,78,57,0.033,"gleba szara bardzo wilgotna"
64,73,82,61,0.058,"gleba szara bardzo wilgotna"
64,73,78,57,0.033,"gleba szara bardzo wilgotna"
68,77,78,61,0.006,"gleba szara bardzo wilgotna"
76,89,94,76,0.027,"gleba szara bardzo wilgotna"
76,98,98,76,0,"gleba szara bardzo wilgotna"
80,98,98,76,0,"gleba szara bardzo wilgotna"
80,94,98,76,0.021,"gleba szara bardzo wilgotna"
72,85,98,79,0.071,"gleba szara wilgotna"
72,85,90,76,0.029,"gleba szara wilgotna"
44,31,111,124,0.563,"uprawa bawelny"
47,37,106,116,0.483,"uprawa bawelny"
101,116,122,96,0.025,"gleba szara"
101,112,122,96,0.043,"gleba szara"
92,107,118,88,0.049,"gleba szara"
84,99,104,81,0.025,"gleba szara wilgotna"
76,79,87,63,0.048,"gleba szara bardzo wilgotna"
64,75,75,63,0,"gleba szara bardzo wilgotna"
68,75,79,59,0.026,"gleba szara bardzo wilgotna"
64,68,75,56,0.049,"gleba szara bardzo wilgotna"
64,71,71,56,0,"gleba szara bardzo wilgotna"
68,71,71,59,0,"gleba szara bardzo wilgotna"
76,91,96,74,0.027,"gleba szara bardzo wilgotna"
76,91,100,74,0.047,"gleba szara bardzo wilgotna"
76,91,100,81,0.047,"gleba szara wilgotna"
71,83,96,74,0.073,"gleba szara wilgotna"
40,29,113,128,0.592,"uprawa bawelny"
93,116,118,92,0.009,"gleba szara"
88,107,109,83,0.009,"gleba szara wilgotna"
84,103,109,79,0.028,"gleba szara wilgotna"
88,107,109,87,0.009,"gleba szara wilgotna"
84,99,100,79,0.005,"gleba szara wilgotna"
67,72,70,50,-0.014,"gleba szara bardzo wilgotna"
67,75,77,58,0.013,"gleba szara bardzo wilgotna"
67,75,74,58,-0.007,"gleba szara bardzo wilgotna"
71,79,81,58,0.013,"gleba szara bardzo wilgotna"
67,75,70,54,-0.034,"gleba szara bardzo wilgotna"
63,72,74,58,0.014,"gleba szara bardzo wilgotna"
67,72,74,58,0.014,"gleba szara bardzo wilgotna"
67,72,74,58,0.014,"gleba szara bardzo wilgotna"
71,79,85,62,0.037,"gleba szara bardzo wilgotna"
71,79,89,71,0.06,"gleba szara bardzo wilgotna"
75,83,89,71,0.035,"gleba szara bardzo wilgotna"
75,87,93,75,0.033,"gleba szara wilgotna"
44,32,104,112,0.529,"uprawa bawelny"
41,29,113,129,0.592,"uprawa bawelny"
95,118,122,96,0.017,"gleba szara"
86,104,112,85,0.037,"gleba szara wilgotna"
86,104,104,85,0,"gleba szara wilgotna"
86,104,104,81,0,"gleba szara wilgotna"
78,91,96,70,0.027,"gleba szara bardzo wilgotna"
66,75,80,59,0.032,"gleba szara bardzo wilgotna"
66,75,84,63,0.057,"gleba szara bardzo wilgotna"
63,75,80,59,0.032,"gleba szara bardzo wilgotna"
66,79,80,63,0.006,"gleba szara bardzo wilgotna"
66,75,76,59,0.007,"gleba szara bardzo wilgotna"
66,75,76,59,0.007,"gleba szara bardzo wilgotna"
66,79,76,63,-0.019,"gleba szara bardzo wilgotna"
66,79,88,63,0.054,"gleba szara bardzo wilgotna"
70,79,84,70,0.031,"gleba szara wilgotna"
66,79,80,70,0.006,"gleba szara wilgotna"
46,32,108,122,0.543,"uprawa bawelny"
96,117,114,94,-0.013,"gleba szara"
83,103,105,86,0.01,"gleba szara wilgotna"
92,112,114,90,0.009,"gleba szara wilgotna"
87,103,105,83,0.01,"gleba szara wilgotna"
67,77,86,64,0.055,"gleba szara bardzo wilgotna"
67,77,82,60,0.031,"gleba szara bardzo wilgotna"
63,70,72,57,0.014,"gleba szara bardzo wilgotna"
63,73,75,60,0.014,"gleba szara bardzo wilgotna"
67,77,75,60,-0.013,"gleba szara bardzo wilgotna"
67,77,82,60,0.031,"gleba szara bardzo wilgotna"
67,70,86,64,0.103,"gleba szara wilgotna"
67,77,86,60,0.055,"gleba szara wilgotna"
89,115,114,87,-0.004,"gleba szara"
89,106,105,87,-0.005,"gleba szara wilgotna"
82,97,101,80,0.02,"gleba szara wilgotna"
70,79,82,62,0.019,"gleba szara bardzo wilgotna"
67,75,78,58,0.02,"gleba szara bardzo wilgotna"
63,79,85,62,0.037,"gleba szara bardzo wilgotna"
67,75,82,62,0.045,"gleba szara bardzo wilgotna"
70,79,74,58,-0.033,"gleba szara bardzo wilgotna"
63,75,74,55,-0.007,"gleba szara bardzo wilgotna"
63,75,74,62,-0.007,"gleba szara bardzo wilgotna"
63,71,78,62,0.047,"gleba szara bardzo wilgotna"
63,79,89,65,0.06,"gleba szara bardzo wilgotna"
60,79,85,65,0.037,"gleba szara bardzo wilgotna"
70,84,89,76,0.029,"gleba szara wilgotna"
53,49,93,90,0.31,"uprawa bawelny"
64,73,78,54,0.033,"gleba szara bardzo wilgotna"
88,106,111,87,0.023,"gleba szara wilgotna"
88,106,111,87,0.023,"gleba szara wilgotna"
64,73,78,57,0.033,"gleba szara bardzo wilgotna"
68,73,78,61,0.033,"gleba szara bardzo wilgotna"
68,77,78,61,0.006,"gleba szara bardzo wilgotna"
68,77,78,65,0.006,"gleba szara bardzo wilgotna"
68,77,74,57,-0.02,"gleba szara bardzo wilgotna"
64,73,74,57,0.007,"gleba szara bardzo wilgotna"
76,115,120,102,0.021,"gleba czerwona"
64,89,102,79,0.068,"gleba szara wilgotna"
72,89,90,76,0.006,"gleba szara wilgotna"
72,94,86,72,-0.044,"gleba szara wilgotna"
76,94,98,76,0.021,"gleba szara wilgotna"
76,98,98,76,0,"gleba szara wilgotna"
72,85,86,68,0.006,"gleba szara wilgotna"
84,99,108,85,0.043,"gleba szara wilgotna"
68,75,75,56,0,"gleba szara bardzo wilgotna"
68,75,79,59,0.026,"gleba szara bardzo wilgotna"
68,75,79,59,0.026,"gleba szara bardzo wilgotna"
64,79,79,63,0,"gleba szara bardzo wilgotna"
68,79,79,67,0,"gleba szara bardzo wilgotna"
64,75,79,59,0.026,"gleba szara bardzo wilgotna"
68,79,79,59,0,"gleba szara bardzo wilgotna"
64,75,79,59,0.026,"gleba szara bardzo wilgotna"
68,79,83,63,0.025,"gleba szara bardzo wilgotna"
64,75,79,63,0.026,"gleba szara bardzo wilgotna"
76,116,122,96,0.025,"gleba czerwona"
71,112,122,99,0.043,"gleba czerwona"
76,91,91,70,0,"gleba szara wilgotna"
76,83,87,70,0.024,"gleba szara wilgotna"
68,83,87,70,0.024,"gleba szara wilgotna"
71,91,87,70,-0.022,"gleba szara wilgotna"
67,75,81,58,0.038,"gleba szara bardzo wilgotna"
63,75,77,58,0.013,"gleba szara bardzo wilgotna"
67,83,85,67,0.012,"gleba szara bardzo wilgotna"
84,103,104,83,0.005,"gleba szara wilgotna"
79,95,93,75,-0.011,"gleba szara wilgotna"
79,87,85,67,-0.012,"gleba szara bardzo wilgotna"
71,87,85,67,-0.012,"gleba szara bardzo wilgotna"
67,79,77,62,-0.013,"gleba szara bardzo wilgotna"
67,75,77,62,0.013,"gleba szara bardzo wilgotna"
67,75,81,62,0.038,"gleba szara bardzo wilgotna"
75,111,123,100,0.051,"gleba czerwona"
67,107,118,96,0.049,"gleba czerwona"
71,79,85,67,0.037,"gleba szara bardzo wilgotna"
67,72,74,58,0.014,"gleba szara bardzo wilgotna"
67,72,74,58,0.014,"gleba szara bardzo wilgotna"
79,95,100,79,0.026,"gleba szara wilgotna"
70,79,80,66,0.006,"gleba szara bardzo wilgotna"
63,71,73,59,0.014,"gleba szara bardzo wilgotna"
82,100,104,81,0.02,"gleba szara wilgotna"
66,79,84,66,0.031,"gleba szara bardzo wilgotna"
70,75,76,59,0.007,"gleba szara bardzo wilgotna"
63,75,76,63,0.007,"gleba szara bardzo wilgotna"
63,79,84,63,0.031,"gleba szara bardzo wilgotna"
66,75,84,63,0.057,"gleba szara bardzo wilgotna"
63,71,88,70,0.107,"roslinnosc na sciernisku"
63,63,88,74,0.166,"roslinnosc na sciernisku"
66,79,80,66,0.006,"gleba szara bardzo wilgotna"
78,113,117,96,0.017,"gleba czerwona"
70,113,127,96,0.058,"gleba czerwona"
66,113,122,100,0.038,"gleba czerwona"
74,83,96,74,0.073,"gleba szara bardzo wilgotna"
66,71,73,59,0.014,"gleba szara bardzo wilgotna"
70,83,88,70,0.029,"gleba szara wilgotna"
74,91,92,78,0.005,"gleba szara wilgotna"
67,81,86,64,0.03,"gleba szara bardzo wilgotna"
63,77,82,60,0.031,"gleba szara bardzo wilgotna"
87,99,105,83,0.029,"gleba szara wilgotna"
75,91,97,72,0.032,"gleba szara wilgotna"
75,81,86,64,0.03,"gleba szara bardzo wilgotna"
67,70,90,64,0.125,"gleba szara bardzo wilgotna"
67,77,82,64,0.031,"gleba szara bardzo wilgotna"
63,70,82,68,0.079,"roslinnosc na sciernisku"
59,57,97,86,0.26,"roslinnosc na sciernisku"
59,57,97,86,0.26,"roslinnosc na sciernisku"
59,57,97,86,0.26,"roslinnosc na sciernisku"
67,77,79,60,0.013,"gleba szara bardzo wilgotna"
67,77,82,64,0.031,"gleba szara bardzo wilgotna"
71,108,124,98,0.069,"gleba czerwona"
67,112,124,98,0.051,"gleba czerwona"
67,112,124,98,0.051,"gleba czerwona"
63,108,124,101,0.069,"gleba czerwona"
63,66,68,53,0.015,"gleba szara bardzo wilgotna"
63,70,72,60,0.014,"gleba szara bardzo wilgotna"
67,70,75,57,0.034,"gleba szara bardzo wilgotna"
67,66,72,60,0.043,"gleba szara bardzo wilgotna"
75,88,90,72,0.011,"gleba szara wilgotna"
75,88,90,68,0.011,"gleba szara wilgotna"
67,79,85,65,0.037,"gleba szara bardzo wilgotna"
67,79,82,65,0.019,"gleba szara bardzo wilgotna"
74,92,93,76,0.005,"gleba szara bardzo wilgotna"
82,97,101,83,0.02,"gleba szara wilgotna"
82,97,105,80,0.04,"gleba szara wilgotna"
82,88,101,76,0.069,"gleba szara bardzo wilgotna"
74,84,101,83,0.092,"gleba szara bardzo wilgotna"
67,75,85,62,0.062,"gleba szara bardzo wilgotna"
60,60,85,76,0.172,"roslinnosc na sciernisku"
63,120,124,101,0.016,"gleba czerwona"
63,115,124,101,0.038,"gleba czerwona"
67,115,129,104,0.057,"gleba czerwona"
63,67,70,58,0.022,"gleba szara bardzo wilgotna"
63,75,82,65,0.045,"gleba szara bardzo wilgotna"
70,88,85,65,-0.017,"gleba szara wilgotna"
76,89,90,68,0.006,"gleba szara wilgotna"
68,77,74,61,-0.02,"gleba szara bardzo wilgotna"
84,102,98,83,-0.02,"gleba szara wilgotna"
84,102,102,79,0,"gleba szara wilgotna"
72,81,90,65,0.053,"gleba szara bardzo wilgotna"
68,69,86,68,0.11,"gleba szara bardzo wilgotna"
76,89,98,79,0.048,"gleba szara bardzo wilgotna"
57,55,86,76,0.22,"roslinnosc na sciernisku"
57,59,74,68,0.113,"roslinnosc na sciernisku"
72,115,120,98,0.021,"gleba czerwona"
68,111,120,98,0.039,"gleba czerwona"
68,73,82,65,0.058,"gleba szara bardzo wilgotna"
64,75,79,59,0.026,"gleba szara bardzo wilgotna"
76,91,96,74,0.027,"gleba szara wilgotna"
80,99,104,81,0.025,"gleba szara"
80,99,104,78,0.025,"gleba szara"
71,79,83,63,0.025,"gleba szara bardzo wilgotna"
60,61,83,70,0.153,"roslinnosc na sciernisku"
56,57,83,70,0.186,"roslinnosc na sciernisku"
56,64,83,67,0.129,"roslinnosc na sciernisku"
68,112,118,96,0.026,"gleba czerwona"
68,112,128,96,0.067,"gleba czerwona"
68,75,79,63,0.026,"gleba szara bardzo wilgotna"
71,75,79,59,0.026,"gleba szara bardzo wilgotna"
75,83,89,71,0.035,"gleba szara wilgotna"
67,75,77,62,0.013,"gleba szara bardzo wilgotna"
84,95,100,79,0.026,"gleba szara wilgotna"
84,95,100,75,0.026,"gleba szara wilgotna"
75,91,89,71,-0.011,"gleba szara bardzo wilgotna"
71,79,85,67,0.037,"gleba szara bardzo wilgotna"
59,58,81,71,0.165,"roslinnosc na sciernisku"
55,54,85,71,0.223,"roslinnosc na sciernisku"
59,61,81,67,0.141,"roslinnosc na sciernisku"
71,111,123,96,0.051,"gleba czerwona"
71,116,123,100,0.029,"gleba czerwona"
67,111,123,100,0.051,"gleba czerwona"
67,111,123,100,0.051,"gleba czerwona"
71,111,128,100,0.071,"gleba czerwona"
71,116,123,100,0.029,"gleba czerwona"
63,75,81,62,0.038,"gleba szara bardzo wilgotna"
67,72,77,62,0.034,"gleba szara bardzo wilgotna"
67,68,74,58,0.042,"gleba szara bardzo wilgotna"
63,68,67,58,-0.007,"gleba szara bardzo wilgotna"
67,79,81,62,0.013,"gleba szara bardzo wilgotna"
74,87,88,70,0.006,"gleba szara wilgotna"
66,79,88,63,0.054,"gleba szara bardzo wilgotna"
56,49,80,66,0.24,"roslinnosc na sciernisku"
82,100,104,85,0.02,"gleba szara"
82,100,104,85,0.02,"gleba szara"
78,91,92,74,0.005,"gleba szara"
52,56,69,55,0.104,"roslinnosc na sciernisku"
56,60,73,59,0.098,"roslinnosc na sciernisku"
59,60,76,66,0.118,"roslinnosc na sciernisku"
56,53,84,74,0.226,"roslinnosc na sciernisku"
63,87,92,81,0.028,"gleba czerwona"
66,104,112,92,0.037,"gleba czerwona"
66,109,117,96,0.035,"gleba czerwona"
66,109,122,100,0.056,"gleba czerwona"
66,113,122,100,0.038,"gleba czerwona"
63,63,66,55,0.023,"gleba szara bardzo wilgotna"
63,67,73,59,0.043,"gleba szara bardzo wilgotna"
70,79,84,66,0.031,"gleba szara bardzo wilgotna"
71,88,93,72,0.028,"gleba szara bardzo wilgotna"
59,54,82,75,0.206,"roslinnosc na sciernisku"
63,66,68,34,0.015,"roslinnosc na sciernisku"
49,54,68,53,0.115,"roslinnosc na sciernisku"
52,51,82,75,0.233,"roslinnosc na sciernisku"
71,112,130,101,0.074,"gleba czerwona"
63,66,68,57,0.015,"gleba szara bardzo wilgotna"
63,66,68,57,0.015,"gleba szara bardzo wilgotna"
67,70,75,57,0.034,"gleba szara bardzo wilgotna"
78,92,93,73,0.005,"gleba szara wilgotna"
67,84,85,62,0.006,"gleba szara bardzo wilgotna"
60,60,85,80,0.172,"roslinnosc na sciernisku"
67,67,78,65,0.076,"gleba szara bardzo wilgotna"
82,92,101,76,0.047,"gleba szara bardzo wilgotna"
50,53,74,58,0.165,"roslinnosc na sciernisku"
53,56,82,69,0.188,"roslinnosc na sciernisku"
67,111,119,94,0.035,"gleba czerwona"
63,111,124,101,0.055,"gleba czerwona"
67,115,129,101,0.057,"gleba czerwona"
67,111,119,94,0.035,"gleba czerwona"
70,97,105,87,0.04,"gleba czerwona"
63,67,70,58,0.022,"gleba szara bardzo wilgotna"
63,71,74,58,0.021,"gleba szara bardzo wilgotna"
60,67,67,58,0,"gleba szara bardzo wilgotna"
76,89,94,68,0.027,"gleba szara wilgotna"
72,85,86,68,0.006,"gleba szara wilgotna"
68,85,82,65,-0.018,"gleba szara bardzo wilgotna"
64,77,82,65,0.031,"gleba szara bardzo wilgotna"
68,81,82,65,0.006,"gleba szara bardzo wilgotna"
64,66,90,79,0.154,"roslinnosc na sciernisku"
76,85,90,61,0.029,"gleba szara"
53,52,71,57,0.154,"roslinnosc na sciernisku"
57,55,74,61,0.147,"roslinnosc na sciernisku"
68,111,115,98,0.018,"gleba czerwona"
68,111,120,98,0.039,"gleba czerwona"
68,111,115,98,0.018,"gleba czerwona"
64,106,125,98,0.082,"gleba czerwona"
64,111,125,102,0.059,"gleba czerwona"
72,115,120,102,0.021,"gleba czerwona"
68,111,120,98,0.039,"gleba czerwona"
68,106,115,94,0.041,"gleba czerwona"
64,89,98,79,0.048,"gleba czerwona"
60,69,74,54,0.035,"gleba szara bardzo wilgotna"
60,69,71,57,0.014,"gleba szara bardzo wilgotna"
64,62,67,57,0.039,"gleba szara bardzo wilgotna"
76,91,96,70,0.027,"gleba szara wilgotna"
68,79,83,63,0.025,"gleba szara bardzo wilgotna"
68,83,83,67,0,"gleba szara bardzo wilgotna"
68,83,87,67,0.024,"gleba szara bardzo wilgotna"
80,95,100,81,0.026,"gleba szara wilgotna"
76,83,96,81,0.073,"roslinnosc na sciernisku"
60,61,75,70,0.103,"roslinnosc na sciernisku"
71,83,87,59,0.024,"gleba szara"
53,54,75,59,0.163,"roslinnosc na sciernisku"
56,57,79,63,0.162,"roslinnosc na sciernisku"
53,54,75,67,0.163,"roslinnosc na sciernisku"
68,112,122,99,0.043,"gleba czerwona"
64,116,122,99,0.025,"gleba czerwona"
64,112,128,96,0.067,"gleba czerwona"
64,112,122,96,0.043,"gleba czerwona"
60,107,122,96,0.066,"gleba czerwona"
64,107,118,99,0.049,"gleba czerwona"
60,61,67,56,0.047,"gleba szara bardzo wilgotna"
64,64,71,56,0.052,"gleba szara bardzo wilgotna"
60,68,67,56,-0.007,"gleba szara bardzo wilgotna"
75,83,89,71,0.035,"gleba szara wilgotna"
75,87,93,67,0.033,"gleba szara wilgotna"
67,79,85,62,0.037,"gleba szara bardzo wilgotna"
71,79,85,62,0.037,"gleba szara bardzo wilgotna"
79,91,96,79,0.027,"gleba szara wilgotna"
79,91,96,75,0.027,"gleba szara wilgotna"
75,79,89,75,0.06,"roslinnosc na sciernisku"
79,91,96,75,0.027,"gleba szara bardzo wilgotna"
84,107,113,87,0.027,"gleba szara"
55,54,81,71,0.2,"roslinnosc na sciernisku"
55,68,89,71,0.134,"roslinnosc na sciernisku"
71,103,109,87,0.028,"gleba czerwona"
71,107,123,100,0.07,"gleba czerwona"
67,107,118,96,0.049,"gleba czerwona"
71,111,123,100,0.051,"gleba czerwona"
71,107,118,96,0.049,"gleba czerwona"
67,103,113,96,0.046,"gleba czerwona"
71,111,123,104,0.051,"gleba czerwona"
67,111,123,96,0.051,"gleba czerwona"
71,107,118,96,0.049,"gleba czerwona"
71,107,118,96,0.049,"gleba czerwona"
71,111,118,100,0.031,"gleba czerwona"
59,64,67,54,0.023,"gleba szara bardzo wilgotna"
63,64,70,58,0.045,"gleba szara bardzo wilgotna"
78,87,96,70,0.049,"gleba szara wilgotna"
78,91,88,70,-0.017,"gleba szara wilgotna"
78,96,92,74,-0.021,"gleba szara wilgotna"
66,79,80,63,0.006,"gleba szara bardzo wilgotna"
82,91,100,78,0.047,"gleba szara wilgotna"
56,63,88,78,0.166,"roslinnosc na sciernisku"
63,87,96,74,0.049,"gleba czerwona"
66,104,108,89,0.019,"gleba czerwona"
70,109,122,100,0.056,"gleba czerwona"
66,113,127,103,0.058,"gleba czerwona"
66,113,117,100,0.017,"gleba czerwona"
63,67,66,55,-0.008,"gleba szara bardzo wilgotna"
63,67,69,59,0.015,"gleba szara bardzo wilgotna"
79,88,97,72,0.049,"gleba szara wilgotna"
75,91,97,79,0.032,"gleba szara wilgotna"
79,95,101,79,0.031,"gleba szara wilgotna"
79,95,105,83,0.05,"gleba szara bardzo wilgotna"
63,66,68,49,0.015,"roslinnosc na sciernisku"
56,54,72,57,0.143,"roslinnosc na sciernisku"
75,91,105,86,0.071,"gleba szara"
67,99,101,83,0.01,"gleba czerwona"
63,112,119,94,0.03,"gleba czerwona"
63,108,114,94,0.027,"gleba czerwona"
63,103,119,94,0.072,"gleba czerwona"
63,108,119,98,0.048,"gleba czerwona"
63,108,119,98,0.048,"gleba czerwona"
67,112,124,101,0.051,"gleba czerwona"
67,112,130,98,0.074,"gleba czerwona"
67,108,119,98,0.048,"gleba czerwona"
63,99,110,94,0.053,"gleba czerwona"
78,88,97,69,0.049,"gleba szara wilgotna"
82,88,97,69,0.049,"gleba szara wilgotna"
70,79,93,65,0.081,"gleba szara bardzo wilgotna"
67,75,82,62,0.045,"gleba szara bardzo wilgotna"
74,79,89,73,0.06,"gleba szara bardzo wilgotna"
60,67,78,62,0.076,"roslinnosc na sciernisku"
70,79,85,73,0.037,"gleba szara bardzo wilgotna"
70,84,89,69,0.029,"gleba szara bardzo wilgotna"
82,102,114,90,0.056,"gleba szara"
74,92,97,80,0.026,"gleba szara"
60,63,74,55,0.08,"roslinnosc na sciernisku"
60,60,93,80,0.216,"roslinnosc na sciernisku"
70,84,101,87,0.092,"roslinnosc na sciernisku"
89,106,114,94,0.036,"gleba szara"
82,120,124,101,0.016,"gleba czerwona"
67,97,110,87,0.063,"gleba czerwona"
63,106,114,94,0.036,"gleba czerwona"
67,106,114,97,0.036,"gleba czerwona"
67,111,124,97,0.055,"gleba czerwona"
60,71,74,58,0.021,"gleba szara bardzo wilgotna"
63,71,74,58,0.021,"gleba szara bardzo wilgotna"
80,94,94,72,0,"gleba szara wilgotna"
76,89,86,68,-0.017,"gleba szara wilgotna"
64,69,86,72,0.11,"roslinnosc na sciernisku"
72,85,86,72,0.006,"gleba szara bardzo wilgotna"
72,94,98,76,0.021,"gleba szara bardzo wilgotna"
80,102,111,87,0.042,"gleba szara"
80,94,102,83,0.041,"gleba szara"
60,66,98,83,0.195,"roslinnosc na sciernisku"
84,106,111,91,0.023,"gleba szara"
92,115,120,102,0.021,"gleba szara"
97,115,125,102,0.042,"gleba czerwona"
80,106,106,91,0,"gleba czerwona"
68,106,115,91,0.041,"gleba czerwona"
64,106,115,98,0.041,"gleba czerwona"
64,102,115,94,0.06,"gleba czerwona"
64,106,120,94,0.062,"gleba czerwona"
64,102,115,98,0.06,"gleba czerwona"
68,111,131,102,0.083,"gleba czerwona"
72,111,120,98,0.039,"gleba czerwona"
68,89,102,79,0.068,"gleba czerwona"
76,95,91,74,-0.022,"gleba szara wilgotna"
71,87,87,70,0,"gleba szara wilgotna"
76,87,91,70,0.022,"gleba szara wilgotna"
76,87,87,70,0,"gleba szara wilgotna"
76,87,91,70,0.022,"gleba szara wilgotna"
64,71,79,63,0.053,"gleba szara bardzo wilgotna"
80,99,104,78,0.025,"gleba szara bardzo wilgotna"
71,75,83,59,0.051,"roslinnosc na sciernisku"
80,99,108,88,0.043,"gleba szara"
84,112,118,96,0.026,"gleba szara"
97,121,128,103,0.028,"gleba czerwona"
92,103,108,81,0.024,"gleba czerwona"
80,87,96,81,0.049,"gleba czerwona"
56,91,104,81,0.067,"gleba czerwona"
64,103,113,92,0.046,"gleba czerwona"
64,107,122,92,0.066,"gleba czerwona"
64,103,113,92,0.046,"gleba czerwona"
68,112,122,96,0.043,"gleba czerwona"
68,107,122,96,0.066,"gleba czerwona"
76,112,118,96,0.026,"gleba czerwona"
75,83,89,67,0.035,"gleba szara wilgotna"
75,87,89,67,0.011,"gleba szara wilgotna"
67,79,81,62,0.013,"gleba szara bardzo wilgotna"
71,83,81,67,-0.012,"gleba szara bardzo wilgotna"
63,61,74,54,0.096,"roslinnosc na sciernisku"
75,87,89,75,0.011,"gleba szara bardzo wilgotna"
88,107,113,92,0.027,"gleba szara"
75,99,109,83,0.048,"gleba szara"
75,107,113,92,0.027,"gleba szara"
71,107,118,96,0.049,"gleba czerwona"
63,99,113,92,0.066,"gleba czerwona"
59,99,113,92,0.066,"gleba czerwona"
59,103,118,92,0.068,"gleba czerwona"
67,103,118,96,0.068,"gleba czerwona"
67,99,118,92,0.088,"gleba czerwona"
71,111,118,96,0.031,"gleba czerwona"
63,107,118,100,0.049,"gleba czerwona"
67,107,118,96,0.049,"gleba czerwona"
71,107,118,96,0.049,"gleba czerwona"
75,111,118,100,0.031,"gleba czerwona"
71,107,118,96,0.049,"gleba czerwona"
67,99,109,83,0.048,"gleba czerwona"
74,87,92,66,0.028,"gleba szara wilgotna"
70,83,84,70,0.006,"gleba szara wilgotna"
63,60,80,59,0.143,"roslinnosc na sciernisku"
90,113,127,96,0.058,"gleba szara"
82,109,112,92,0.014,"gleba czerwona"
66,109,117,96,0.035,"gleba czerwona"
66,113,117,96,0.017,"gleba czerwona"
74,113,117,96,0.017,"gleba czerwona"
67,73,79,57,0.039,"gleba szara bardzo wilgotna"
63,73,75,57,0.014,"gleba szara bardzo wilgotna"
83,91,101,83,0.052,"gleba szara bardzo wilgotna"
83,99,105,86,0.029,"gleba szara"
83,112,124,94,0.051,"gleba szara"
59,95,110,90,0.073,"gleba czerwona"
59,103,119,94,0.072,"gleba czerwona"
63,103,110,90,0.033,"gleba czerwona"
59,88,110,90,0.111,"gleba czerwona"
63,99,101,86,0.01,"gleba czerwona"
67,95,101,83,0.031,"gleba czerwona"
67,99,114,86,0.07,"gleba czerwona"
67,103,110,94,0.033,"gleba czerwona"
63,108,119,94,0.048,"gleba czerwona"
63,112,114,94,0.009,"gleba czerwona"
67,108,119,101,0.048,"gleba czerwona"
67,108,119,98,0.048,"gleba czerwona"
71,112,119,98,0.03,"gleba czerwona"
63,75,78,55,0.02,"gleba szara bardzo wilgotna"
63,71,74,58,0.021,"gleba szara bardzo wilgotna"
63,71,74,58,0.021,"gleba szara bardzo wilgotna"
70,88,93,73,0.028,"gleba szara bardzo wilgotna"
82,102,105,87,0.014,"gleba szara"
93,120,119,97,-0.004,"gleba szara"
93,120,129,101,0.036,"gleba szara"
85,106,114,94,0.036,"gleba szara"
60,97,114,94,0.081,"gleba czerwona"
63,102,114,87,0.056,"gleba czerwona"
67,111,124,94,0.055,"gleba czerwona"
64,73,74,61,0.007,"gleba szara bardzo wilgotna"
68,69,74,57,0.035,"gleba szara bardzo wilgotna"
72,81,86,68,0.03,"gleba szara bardzo wilgotna"
76,85,90,68,0.029,"gleba szara bardzo wilgotna"
80,94,102,83,0.041,"gleba szara bardzo wilgotna"
88,115,120,102,0.021,"gleba szara"
80,111,115,94,0.018,"gleba czerwona"
64,98,111,91,0.062,"gleba czerwona"
57,81,90,76,0.053,"gleba czerwona"
57,85,98,83,0.071,"gleba czerwona"
53,81,102,83,0.115,"gleba czerwona"
53,85,94,83,0.05,"gleba czerwona"
53,85,102,83,0.091,"gleba czerwona"
60,106,115,98,0.041,"gleba czerwona"
64,106,120,98,0.062,"gleba czerwona"
64,102,115,94,0.06,"gleba czerwona"
64,106,115,94,0.041,"gleba czerwona"
68,106,115,94,0.041,"gleba czerwona"
64,111,120,94,0.039,"gleba czerwona"
68,111,120,94,0.039,"gleba czerwona"
64,71,67,56,-0.029,"gleba szara bardzo wilgotna"
68,71,75,56,0.027,"gleba szara bardzo wilgotna"
64,75,79,56,0.026,"gleba szara bardzo wilgotna"
76,83,96,78,0.073,"gleba szara bardzo wilgotna"
76,112,118,92,0.026,"gleba czerwona"
71,103,108,88,0.024,"gleba czerwona"
56,79,91,78,0.071,"gleba czerwona"
53,79,96,78,0.097,"gleba czerwona"
53,95,108,85,0.064,"gleba czerwona"
46,79,87,78,0.048,"gleba czerwona"
64,107,118,96,0.049,"gleba czerwona"
71,107,118,96,0.049,"gleba czerwona"
76,112,122,99,0.043,"gleba czerwona"
79,87,96,79,0.049,"gleba szara bardzo wilgotna"
88,121,123,100,0.008,"gleba szara"
67,99,113,87,0.066,"gleba czerwona"
51,79,100,79,0.117,"gleba czerwona"
51,75,93,79,0.107,"gleba czerwona"
55,72,93,71,0.127,"gleba czerwona"
59,79,93,75,0.081,"gleba czerwona"
55,79,93,75,0.081,"gleba czerwona"
67,107,118,96,0.049,"gleba czerwona"
71,107,118,96,0.049,"gleba czerwona"
67,107,118,96,0.049,"gleba czerwona"
67,111,123,96,0.051,"gleba czerwona"
63,67,69,55,0.015,"gleba szara bardzo wilgotna"
86,104,108,89,0.019,"gleba szara"
