"nazwa","norad","konstelacja","inklinacja","ekscentrycznosc","obiegi_na_dobe","wysokosc_km","okres_min","typ_orbity"
"INTELSAT 35E (IS-35E)",42818,"Komunikacyjne GEO",0.02,0.000211,1.0027,35794.4,1436.1,"GEO"
"INTELSAT 902 (IS-902)",26900,"Komunikacyjne GEO",6.29,0.0004201,1.0027,35793.5,1436.1,"GEO"
"IRNSS-1A",39199,"Komunikacyjne GEO",35.85,0.0019486,1.0028,35791.6,1436,"GEO"
"IRNSS-1C",40269,"Komunikacyjne GEO",6.69,0.002068,1.0027,35793.1,1436.1,"GEO"
"JCSAT-110A (JCSAT-15)",41903,"Komunikacyjne GEO",0,5.58e-05,1.0027,35793.5,1436.1,"GEO"
"JCSAT-3A",29272,"Komunikacyjne GEO",0.06,0.0002668,1.0027,35793.7,1436.1,"GEO"
"KOREASAT 116",45920,"Komunikacyjne GEO",0.04,0.000144,1.0027,35794.2,1436.1,"GEO"
"MEXSAT 3",39035,"Komunikacyjne GEO",0.02,0.0001304,1.0027,35794.4,1436.1,"GEO"
"NUSANTARA LIMA (NUSANT*)",65588,"Komunikacyjne GEO",0.02,4.39e-05,1.0027,35794.7,1436.1,"GEO"
"NUSANTARA SATU",44048,"Komunikacyjne GEO",0.03,0.0004896,1.0027,35794,1436.1,"GEO"
"NVS-01 (IRNSS-1J)",56759,"Komunikacyjne GEO",2.01,0.0004182,1.0027,35793.1,1436.1,"GEO"
"OPTUS D3",35756,"Komunikacyjne GEO",0.87,0.0004226,1.0027,35793.5,1436.1,"GEO"
"SHIYAN-12 01 (SY-12 01)",50321,"Komunikacyjne GEO",3.85,0.0001128,1.0047,35739.1,1433.3,"GEO"
"STAR ONE C3",38991,"Komunikacyjne GEO",0.03,0.0002237,1.0027,35794,1436.1,"GEO"
"STAR ONE D1",41904,"Komunikacyjne GEO",0.01,0.0002346,1.0027,35793.6,1436.1,"GEO"
"STPSAT-6",49817,"Komunikacyjne GEO",0.49,6.71e-05,1.0027,35793.6,1436.1,"GEO"
"SUPERBIRD-B3",43271,"Komunikacyjne GEO",0.02,0.0001319,1.0027,35794.4,1436.1,"GEO"
"TDRS 8",26388,"Komunikacyjne GEO",12.79,0.0002357,1.0027,35792.9,1436.1,"GEO"
"TELKOM 4 (MERAH PUTIH)",43587,"Komunikacyjne GEO",0.03,0.0001548,1.0027,35793.9,1436.1,"GEO"
"TELSTAR 18V",43611,"Komunikacyjne GEO",0.03,0.000202,1.0027,35793.3,1436.1,"GEO"
"THAICOM 8",41552,"Komunikacyjne GEO",0.06,0.0001819,1.0027,35794.2,1436.1,"GEO"
"TURKSAT 4B",40984,"Komunikacyjne GEO",0.05,0.0002374,1.0028,35792.5,1436,"GEO"
"TURKSAT 5B",50212,"Komunikacyjne GEO",0.08,0.0001421,1.0027,35793.5,1436.1,"GEO"
"TURKSAT 6A",60233,"Komunikacyjne GEO",0.05,0.0004233,1.0027,35793.8,1436.1,"GEO"
"UFO 11 (USA 174)",28117,"Komunikacyjne GEO",8.99,0.0003455,1.0027,35793.8,1436.1,"GEO"
"USA 134",25019,"Komunikacyjne GEO",12.87,0.0001571,1.0027,35793.4,1436.1,"GEO"
"XM-5",37185,"Komunikacyjne GEO",0.07,6.24e-05,1.0027,35794.2,1436.1,"GEO"
"YAMAL 402",39022,"Komunikacyjne GEO",1.44,0.000375,1.0027,35793.5,1436.1,"GEO"
"YAMAL 601",44307,"Komunikacyjne GEO",0.01,0.0002488,1.0027,35793.6,1436.1,"GEO"
"ZHONGXING-2E",49062,"Komunikacyjne GEO",0.05,6.84e-05,1.0027,35794.3,1436.1,"GEO"
"ARKTIKA-M 2",58584,"Meteorologiczne",63.21,0.6901614,2.0059,20186.7,717.9,"MEO"
"COMS 1",36744,"Meteorologiczne",4.98,0.001103,0.9917,36105.2,1452,"GEO"
"CYGFM01",41887,"Meteorologiczne",34.94,0.0003274,15.6043,393.5,92.3,"LEO"
"CYGFM02",41886,"Meteorologiczne",34.94,0.0003007,15.6925,368.2,91.8,"LEO"
"CYGFM03",41891,"Meteorologiczne",34.94,0.0002428,15.6375,384,92.1,"LEO"
"CYGFM04",41885,"Meteorologiczne",34.93,0.0002679,15.6547,379,92,"LEO"
"CYGFM05",41884,"Meteorologiczne",34.96,0.0003506,15.5965,395.8,92.3,"LEO"
"CYGFM07",41890,"Meteorologiczne",34.94,0.00032,15.6376,383.9,92.1,"LEO"
"CYGFM08",41888,"Meteorologiczne",34.94,0.0004123,15.6364,384.3,92.1,"LEO"
"DMSP 5D-3 F16 (USA 172)",28054,"Meteorologiczne",98.99,0.0006216,14.1449,851.2,101.8,"LEO"
"DMSP 5D-3 F17 (USA 191)",29522,"Meteorologiczne",98.74,0.000937,14.15,849.4,101.8,"LEO"
"DMSP 5D-3 F18 (USA 210)",35951,"Meteorologiczne",98.91,0.0012132,14.1493,849.7,101.8,"LEO"
"ELEKTRO-L 2",41105,"Meteorologiczne",6.86,0.0001089,1.0027,35793.8,1436.1,"GEO"
"EWS-G2 (GOES 15)",36411,"Meteorologiczne",1.46,0.0005628,1.0027,35793,1436.1,"GEO"
"EWS-G3 (GOES 14)",35491,"Meteorologiczne",1.86,0.0002248,1.0008,35848.4,1438.9,"GEO"
"FENGYUN 2G",40367,"Meteorologiczne",5.81,0.0004112,1.0026,35795.9,1436.2,"GEO"
"FENGYUN 2H",43491,"Meteorologiczne",3.2,0.000222,1.0027,35792.9,1436.1,"GEO"
"FENGYUN 3A",32958,"Meteorologiczne",98.69,0.0007681,14.1958,833.9,101.4,"LEO"
"FENGYUN 3B",37214,"Meteorologiczne",98.96,0.0021923,14.1485,849.9,101.8,"LEO"
"FENGYUN 3C",39260,"Meteorologiczne",98.51,0.0014566,14.1577,846.8,101.7,"LEO"
"FENGYUN 3D",43010,"Meteorologiczne",99.02,0.0001131,14.1975,833.3,101.4,"LEO"
"FENGYUN 3E",49008,"Meteorologiczne",98.75,5.85e-05,14.1991,832.8,101.4,"LEO"
"FENGYUN 3F",57490,"Meteorologiczne",98.68,8.32e-05,14.1995,832.7,101.4,"LEO"
"FENGYUN 3G",56232,"Meteorologiczne",49.99,0.0012413,15.5286,415.5,92.7,"LEO"
"FENGYUN 3H",65815,"Meteorologiczne",98.68,9.34e-05,14.1993,832.7,101.4,"LEO"
"FENGYUN 4A",41882,"Meteorologiczne",2.49,0.0007473,1.0026,35795.7,1436.2,"GEO"
"GEO-KOMPSAT-2A",43823,"Meteorologiczne",0.01,0.0002185,1.0027,35793.9,1436.1,"GEO"
"GOES 16",41866,"Meteorologiczne",0.5,0.0001361,1.0027,35793.4,1436.1,"GEO"
"GOES 17",43226,"Meteorologiczne",1.11,8.31e-05,1.0027,35793.6,1436.1,"GEO"
"GOES 18",51850,"Meteorologiczne",0,3.99e-05,1.0027,35793.6,1436.1,"GEO"
"GOES 19",60133,"Meteorologiczne",0.01,3.17e-05,1.0027,35793.5,1436.1,"GEO"
"HIMAWARI-8",40267,"Meteorologiczne",0.02,0.0001248,1.0027,35793.2,1436.1,"GEO"
"HIMAWARI-9",41836,"Meteorologiczne",0.04,0.0001236,1.0027,35793.4,1436.1,"GEO"
"INSAT-3D",39216,"Meteorologiczne",2.1,0.0001394,1.0027,35794.2,1436.1,"GEO"
"INSAT-3DR",41752,"Meteorologiczne",0.07,0.0010987,1.0027,35793.6,1436.1,"GEO"
"INSAT-3DS",58990,"Meteorologiczne",0.08,0.0001321,1.0027,35793.6,1436.1,"GEO"
"METEOR-M 2",40069,"Meteorologiczne",98.52,0.0005422,14.2148,827.5,101.3,"LEO"
"METEOR-M2 2",44387,"Meteorologiczne",98.92,0.0001623,14.2438,817.7,101.1,"LEO"
"METEOR-M2 3",57166,"Meteorologiczne",98.6,0.0003411,14.2405,818.8,101.1,"LEO"
"METEOR-M2 4",59051,"Meteorologiczne",98.71,0.0006615,14.2244,824.3,101.2,"LEO"
"METEOSAT-10 (MSG-3)",38552,"Meteorologiczne",4.83,0.0001056,1.0027,35794.8,1436.2,"GEO"
"METEOSAT-11 (MSG-4)",40732,"Meteorologiczne",3.37,7.39e-05,1.0027,35795.1,1436.2,"GEO"
"METEOSAT-12 (MTG-I1)",54743,"Meteorologiczne",0.77,0.0003807,1.0028,35792.6,1436,"GEO"
"METEOSAT-9 (MSG-2)",28912,"Meteorologiczne",9.51,0.0002689,1.0028,35791.7,1436,"GEO"
"METOP-B",38771,"Meteorologiczne",98.64,0.0003193,14.2146,827.6,101.3,"LEO"
"METOP-C",43689,"Meteorologiczne",98.66,9.75e-05,14.2151,827.4,101.3,"LEO"
"METOP-SGA1",65159,"Meteorologiczne",98.66,0.0001089,14.2151,827.4,101.3,"LEO"
"MTG-S1",64723,"Meteorologiczne",0.6,0.000344,1.0027,35793.3,1436.1,"GEO"
"NOAA 20 (JPSS-1)",43013,"Meteorologiczne",98.78,0.0001981,14.1952,834.1,101.4,"LEO"
"NOAA 21 (JPSS-2)",54234,"Meteorologiczne",98.71,0.0002151,14.1955,834,101.4,"LEO"
"SENTINEL-3A",41335,"Meteorologiczne",98.62,9.69e-05,14.2674,809.8,100.9,"LEO"
"SENTINEL-3B",43437,"Meteorologiczne",98.62,0.0001649,14.2674,809.8,100.9,"LEO"
"SUOMI NPP",37849,"Meteorologiczne",98.8,0.0002693,14.1953,834.1,101.4,"LEO"
"TIANMU-1 03",55973,"Meteorologiczne",97.53,0.0002731,15.4909,426.5,93,"LEO"
"TIANMU-1 04",55974,"Meteorologiczne",97.52,0.0003424,15.4975,424.6,92.9,"LEO"
"TIANMU-1 05",55975,"Meteorologiczne",97.52,0.0001835,15.49,426.8,93,"LEO"
"TIANMU-1 06",55976,"Meteorologiczne",97.52,0.0002473,15.4963,424.9,92.9,"LEO"
"TIANMU-1 07",57399,"Meteorologiczne",97.25,0.0001145,15.3051,481.4,94.1,"LEO"
"TIANMU-1 08",57400,"Meteorologiczne",97.25,0.0002689,15.3051,481.4,94.1,"LEO"
"TIANMU-1 09",57401,"Meteorologiczne",97.25,0.0001752,15.3049,481.5,94.1,"LEO"
"TIANMU-1 10",57402,"Meteorologiczne",97.26,0.0002978,15.3054,481.3,94.1,"LEO"
"TIANMU-1 11",58645,"Meteorologiczne",97.34,0.001051,15.2761,490.1,94.3,"LEO"
"TIANMU-1 12",58646,"Meteorologiczne",97.34,0.0009452,15.2728,491.1,94.3,"LEO"
"TIANMU-1 13",58647,"Meteorologiczne",97.35,0.0008165,15.2727,491.1,94.3,"LEO"
"TIANMU-1 14",58648,"Meteorologiczne",97.34,0.0008955,15.2729,491,94.3,"LEO"
"TIANMU-1 15",58700,"Meteorologiczne",97.47,0.0008858,15.2728,491.1,94.3,"LEO"
"TIANMU-1 16",58701,"Meteorologiczne",97.46,0.0007483,15.2738,490.8,94.3,"LEO"
"TIANMU-1 17",58702,"Meteorologiczne",97.46,0.0006964,15.2738,490.8,94.3,"LEO"
"TIANMU-1 18",58703,"Meteorologiczne",97.47,0.0006567,15.2728,491.1,94.3,"LEO"
"TIANMU-1 19",58660,"Meteorologiczne",97.46,0.0006302,15.3253,475.4,94,"LEO"
"TIANMU-1 20",58661,"Meteorologiczne",97.45,0.000848,15.3373,471.8,93.9,"LEO"
"TIANMU-1 21",58662,"Meteorologiczne",97.46,0.0008294,15.3622,464.4,93.7,"LEO"
"TIANMU-1 22",58663,"Meteorologiczne",97.46,0.000523,15.3194,477.2,94,"LEO"
"ASTROSAT",40930,"Naukowe",6,0.0008529,14.8261,628.2,97.1,"LEO"
"BRITE-AUSTRIA",39091,"Naukowe",98.4,0.0010887,14.3657,777,100.2,"LEO"
"BRITE-CA1 (TORONTO)",40020,"Naukowe",97.98,0.0079559,14.7279,659.3,97.8,"LEO"
"BRITE-PL2 (HEWELIUSZ)",40119,"Naukowe",97.91,0.0012735,14.948,590.1,96.3,"LEO"
"CASSIOPE",39265,"Naukowe",80.92,0.0275326,15.2972,483.8,94.1,"LEO"
"CLUSTER II-FM7 (SAMBA)",26410,"Naukowe",149.56,0.9119992,0.4488,65693,3208.8,"GEO"
"CLUSTER II-FM8 (TANGO)",26464,"Naukowe",149.62,0.9130551,0.4454,66052.1,3232.8,"GEO"
"CORIOLIS",27640,"Naukowe",98.72,0.0014326,14.1996,832.6,101.4,"LEO"
"CRYOSAT 2",36508,"Naukowe",92.03,0.0002691,14.519,726.6,99.2,"LEO"
"CXO",25867,"Naukowe",57.14,0.7726724,0.378,74426.3,3809.4,"GEO"
"DAMPE",41173,"Naukowe",97.46,0.0011629,15.3094,480.2,94.1,"LEO"
"FGRST (GLAST)",33053,"Naukowe",25.58,0.0008571,15.2425,500.2,94.5,"LEO"
"FLYING LAPTOP",42831,"Naukowe",97.5,0.0016048,15.0151,569.4,95.9,"LEO"
"GCOM-W1 (SHIZUKU)",38337,"Naukowe",98.2,0.0001353,14.5712,709.6,98.8,"LEO"
"HINODE (SOLAR-B)",29479,"Naukowe",98.06,0.0018845,14.687,672.4,98,"LEO"
"HISAKI (SPRINT-A)",39253,"Naukowe",29.72,0.0136687,13.5555,1059,106.2,"LEO"
"HST",20580,"Naukowe",28.47,0.0001866,15.3146,478.6,94,"LEO"
"HXMT (HUIYAN)",42758,"Naukowe",43.01,0.003245,15.1898,516.1,94.8,"LEO"
"IRIS",39197,"Naukowe",97.93,0.0025837,14.8601,617.6,96.9,"LEO"
"IXPE",49954,"Naukowe",0.23,0.0007174,15.1082,540.8,95.3,"LEO"
"MMS 1",40482,"Naukowe",72.91,0.8278226,0.2835,91512.3,5079.5,"GEO"
"MMS 2",40483,"Naukowe",72.91,0.828108,0.2835,91514.8,5079.7,"GEO"
"MMS 3",40484,"Naukowe",72.91,0.8279425,0.2835,91512.3,5079.5,"GEO"
"MMS 4",40485,"Naukowe",72.9,0.8279456,0.2835,91512.4,5079.5,"GEO"
"MOST",27843,"Naukowe",98.71,0.0010817,14.2133,828,101.3,"LEO"
"NEOSSAT",39089,"Naukowe",98.42,0.0011838,14.3585,779.4,100.3,"LEO"
"NUSTAR",38358,"Naukowe",6.02,0.0006889,15.0938,545.2,95.4,"LEO"
"OCO 2",40059,"Naukowe",98.2,0.0001619,14.5709,709.7,98.8,"LEO"
"PISAT",41784,"Naukowe",97.82,0.0028602,14.691,671.1,98,"LEO"
"POLAR",23802,"Naukowe",79.95,0.6540066,1.2985,29119.9,1109,"MEO"
"SALSAT",46495,"Naukowe",97.89,0.0011122,15.3067,481,94.1,"LEO"
"SCISAT 1",27858,"Naukowe",73.93,0.0006093,14.8152,631.7,97.2,"LEO"
"SDO",36395,"Naukowe",34.79,0.0001521,1.0028,35792.5,1436,"GEO"
"SHIJIAN-6 02A (SJ-6 02A)",29505,"Naukowe",97.63,0.0001376,15.1763,520.2,94.9,"LEO"
"SHIJIAN-6 02B (SJ-6 02B)",29506,"Naukowe",97.71,0.0015191,15.0147,569.5,95.9,"LEO"
"SMILE",69123,"Naukowe",70.03,0.8229755,0.4751,63009.7,3031.2,"GEO"
"SORCE",27651,"Naukowe",39.99,0.0017814,15.0402,561.6,95.7,"LEO"
"STSAT-3",39422,"Naukowe",97.63,0.0010329,15.0308,564.5,95.8,"LEO"
"SWARM A",39452,"Naukowe",87.33,0.0002408,15.5041,422.7,92.9,"LEO"
"SWARM B",39451,"Naukowe",87.75,0.0003212,15.2894,486.1,94.2,"LEO"
"SWARM C",39453,"Naukowe",87.33,0.0002399,15.5041,422.7,92.9,"LEO"
"SWAS",25560,"Naukowe",69.89,0.0004858,15.0998,543.4,95.4,"LEO"
"SWIFT",28485,"Naukowe",20.55,0.0001271,15.7589,349.2,91.4,"LEO"
"TERRA",25994,"Naukowe",97.94,0.0002834,14.6115,696.6,98.6,"LEO"
"TIMED",26998,"Naukowe",74.07,0.0002301,14.9542,588.2,96.3,"LEO"
"X-SAT",37389,"Naukowe",98.36,0.0014773,14.2522,814.9,101,"LEO"
"XMM-NEWTON",25989,"Naukowe",64.11,0.4655809,0.5012,60572.3,2872.9,"GEO"
"ZHANGHENG 1-01 (CSES-1)",43194,"Naukowe",97.69,0.0016305,15.2106,509.8,94.7,"LEO"
"ONEWEB-0007",44060,"OneWeb",87.9,0.0002307,13.1555,1208.9,109.5,"LEO"
"ONEWEB-0056",45159,"OneWeb",87.89,0.0001515,13.1038,1228.8,109.9,"LEO"
"ONEWEB-0065",45164,"OneWeb",87.89,0.0001453,13.1038,1228.8,109.9,"LEO"
"ONEWEB-0093",45444,"OneWeb",87.89,0.0002026,13.1141,1224.8,109.8,"LEO"
"ONEWEB-0108",48076,"OneWeb",87.9,0.0001931,13.1347,1216.9,109.6,"LEO"
"ONEWEB-0145",47291,"OneWeb",87.9,0.0001859,13.1244,1220.9,109.7,"LEO"
"ONEWEB-0147",47293,"OneWeb",87.9,0.0002063,13.1244,1220.9,109.7,"LEO"
"ONEWEB-0149",48058,"OneWeb",87.9,0.0001822,13.1347,1216.9,109.6,"LEO"
"ONEWEB-0150",48047,"OneWeb",87.9,0.0001756,13.1348,1216.9,109.6,"LEO"
"ONEWEB-0194",48237,"OneWeb",87.89,0.0002156,13.1443,1213.2,109.6,"LEO"
"ONEWEB-0199",48234,"OneWeb",87.89,0.0002019,13.1457,1212.7,109.5,"LEO"
"ONEWEB-0206",48227,"OneWeb",87.89,0.0002027,13.1456,1212.7,109.5,"LEO"
"ONEWEB-0211",48767,"OneWeb",87.9,0.0002359,13.162,1206.4,109.4,"LEO"
"ONEWEB-0237",48770,"OneWeb",87.9,0.000185,13.1555,1208.9,109.5,"LEO"
"ONEWEB-0259",48977,"OneWeb",87.91,0.0002109,13.166,1204.9,109.4,"LEO"
"ONEWEB-0261",48979,"OneWeb",87.91,0.0002416,13.166,1204.9,109.4,"LEO"
"ONEWEB-0262",48980,"OneWeb",87.91,0.000215,13.1659,1204.9,109.4,"LEO"
"ONEWEB-0268",48986,"OneWeb",87.91,0.0002107,13.1659,1204.9,109.4,"LEO"
"ONEWEB-0274",48992,"OneWeb",87.91,0.0002234,13.1659,1204.9,109.4,"LEO"
"ONEWEB-0312",49098,"OneWeb",87.92,0.0001515,13.1765,1200.8,109.3,"LEO"
"ONEWEB-0314",49100,"OneWeb",87.92,0.0001469,13.1765,1200.8,109.3,"LEO"
"ONEWEB-0315",49101,"OneWeb",87.9,0.000185,13.1244,1220.9,109.7,"LEO"
"ONEWEB-0326",49195,"OneWeb",87.92,0.000192,13.1869,1196.9,109.2,"LEO"
"ONEWEB-0335",49201,"OneWeb",87.9,0.0001857,13.1347,1216.9,109.6,"LEO"
"ONEWEB-0343",49209,"OneWeb",87.92,0.0002176,13.1869,1196.9,109.2,"LEO"
"ONEWEB-0344",49210,"OneWeb",87.89,0.0001539,13.1347,1216.9,109.6,"LEO"
"ONEWEB-0348",49213,"OneWeb",87.91,0.0001556,13.2077,1188.9,109,"LEO"
"ONEWEB-0350",49214,"OneWeb",87.9,0.0003079,13.1347,1216.9,109.6,"LEO"
"ONEWEB-0351",49215,"OneWeb",87.91,0.0002176,13.2077,1188.9,109,"LEO"
"ONEWEB-0352",49216,"OneWeb",87.9,0.0002137,13.1347,1216.9,109.6,"LEO"
"ONEWEB-0358",49284,"OneWeb",87.91,0.000196,13.2078,1188.9,109,"LEO"
"ONEWEB-0360",49286,"OneWeb",87.91,0.0001922,13.2077,1188.9,109,"LEO"
"ONEWEB-0373",49299,"OneWeb",87.91,0.0001921,13.2077,1188.9,109,"LEO"
"ONEWEB-0375",49301,"OneWeb",87.91,0.0001811,13.2077,1188.9,109,"LEO"
"ONEWEB-0378",49304,"OneWeb",87.91,0.0002024,13.2077,1188.9,109,"LEO"
"ONEWEB-0388",49314,"OneWeb",87.91,0.0002058,13.1973,1192.9,109.1,"LEO"
"ONEWEB-0389",50469,"OneWeb",87.92,0.0001886,13.1764,1200.9,109.3,"LEO"
"ONEWEB-0426",50498,"OneWeb",87.92,0.0001877,13.1869,1196.9,109.2,"LEO"
"ONEWEB-0444",51638,"OneWeb",87.89,0.0001859,13.1037,1228.9,109.9,"LEO"
"ONEWEB-0451",51643,"OneWeb",87.92,0.0001788,13.1765,1200.9,109.3,"LEO"
"ONEWEB-0502",54120,"OneWeb",87.92,0.0002269,13.1973,1192.9,109.1,"LEO"
"ONEWEB-0523",54141,"OneWeb",87.91,0.0001237,13.2077,1188.9,109,"LEO"
"ONEWEB-0530",55796,"OneWeb",87.91,0.0001741,13.2077,1188.9,109,"LEO"
"ONEWEB-0556",55798,"OneWeb",87.91,0.0002591,13.2077,1188.9,109,"LEO"
"ONEWEB-0569",55148,"OneWeb",87.9,0.0002518,13.1347,1216.9,109.6,"LEO"
"ONEWEB-0578",56067,"OneWeb",87.92,0.0001837,13.2183,1184.9,108.9,"LEO"
"ONEWEB-0598",55154,"OneWeb",87.89,0.000196,13.1141,1224.8,109.8,"LEO"
"ONEWEB-0611",54674,"OneWeb",87.92,0.000212,13.2183,1184.9,108.9,"LEO"
"ONEWEB-0613",56071,"OneWeb",87.9,0.0002224,13.1555,1208.9,109.5,"LEO"
"ONEWEB-0624",55165,"OneWeb",87.9,0.0001737,13.1293,1219,109.7,"LEO"
"ONEWEB-0625",55166,"OneWeb",87.92,0.0002021,13.1765,1200.8,109.3,"LEO"
"ONEWEB-0628",55169,"OneWeb",87.9,0.000177,13.1245,1220.8,109.7,"LEO"
"ONEWEB-0633",56074,"OneWeb",87.9,0.0002261,13.1555,1208.9,109.5,"LEO"
"ONEWEB-0634",56075,"OneWeb",87.9,0.0001749,13.1555,1208.9,109.5,"LEO"
"ONEWEB-0638",55802,"OneWeb",87.89,0.0002269,13.1454,1212.8,109.5,"LEO"
"ONEWEB-0642",55806,"OneWeb",87.91,0.0002495,13.1972,1192.9,109.1,"LEO"
"ONEWEB-0661",55821,"OneWeb",87.89,0.0002191,13.1456,1212.7,109.5,"LEO"
"ONEWEB-0672",55831,"OneWeb",87.91,0.000178,13.2077,1188.9,109,"LEO"
"ONEWEB-0711",55174,"OneWeb",87.89,0.0001289,13.1141,1224.8,109.8,"LEO"
"ONEWEB-0720",55835,"OneWeb",87.91,0.0002223,13.1972,1192.9,109.1,"LEO"
"CREW DRAGON 12",67796,"Stacje kosmiczne",51.63,0.0007673,15.4963,425,92.9,"LEO"
"CSS (MENGTIAN)",54216,"Stacje kosmiczne",41.47,0.0001642,15.5925,397,92.4,"LEO"
"CSS (TIANHE)",48274,"Stacje kosmiczne",41.47,0.0001642,15.5925,397,92.4,"LEO"
"CSS (WENTIAN)",53239,"Stacje kosmiczne",41.47,0.0001642,15.5925,397,92.4,"LEO"
"CYGNUS NG-24",68689,"Stacje kosmiczne",51.63,0.0007673,15.4963,425,92.9,"LEO"
"DUPLEX",66906,"Stacje kosmiczne",51.63,0.0003982,15.6776,372.4,91.9,"LEO"
"FREGAT DEB",49271,"Stacje kosmiczne",51.64,0.0926713,12.4376,1497.8,115.8,"LEO"
"GXIBA-1",67685,"Stacje kosmiczne",51.62,0.0008063,15.6961,367.1,91.7,"LEO"
"HMU-SAT2",67688,"Stacje kosmiczne",51.63,0.0007359,15.7347,356.1,91.5,"LEO"
"HRC MONOBLOCK CAMERA",66052,"Stacje kosmiczne",51.62,0.0006532,15.8718,317.3,90.7,"LEO"
"ISS (NAUKA)",49044,"Stacje kosmiczne",51.63,0.0007673,15.4963,425,92.9,"LEO"
"ISS (ZARYA)",25544,"Stacje kosmiczne",51.63,0.0007673,15.4963,425,92.9,"LEO"
"KNACKSAT-2",67683,"Stacje kosmiczne",51.63,0.0007306,15.665,376.1,91.9,"LEO"
"LEOPARD",67687,"Stacje kosmiczne",51.63,0.0007773,15.6961,367.1,91.7,"LEO"
"POISK",36086,"Stacje kosmiczne",51.63,0.0007673,15.4963,425,92.9,"LEO"
"PROGRESS-MS 33",68319,"Stacje kosmiczne",51.63,0.0007673,15.4963,425,92.9,"LEO"
"PROGRESS-MS 34",68837,"Stacje kosmiczne",51.63,0.0007673,15.4963,425,92.9,"LEO"
"SHENZHOU-23 (SZ-23)",69180,"Stacje kosmiczne",41.47,0.0001642,15.5925,397,92.4,"LEO"
"SZ-21 MODULE",66515,"Stacje kosmiczne",41.47,0.000871,15.8278,329.7,91,"LEO"
"TIANZHOU-10",69049,"Stacje kosmiczne",41.47,0.0001642,15.5925,397,92.4,"LEO"
"UITMSAT-2",67686,"Stacje kosmiczne",51.62,0.0008142,15.7744,344.8,91.3,"LEO"
"STARLINK-11231 [DTC]",61057,"Starlink",53.16,0.0001071,15.6972,366.8,91.7,"LEO"
"STARLINK-11297 [DTC]",61060,"Starlink",53.16,9.66e-05,15.697,366.9,91.7,"LEO"
"STARLINK-11323 [DTC]",61533,"Starlink",53.16,0.0003598,15.697,366.9,91.7,"LEO"
"STARLINK-11332 [DTC]",61539,"Starlink",53.16,0.0001159,15.6971,366.9,91.7,"LEO"
"STARLINK-11561 [DTC]",62908,"Starlink",43,0.0001551,15.7085,363.6,91.7,"LEO"
"STARLINK-1260",45404,"Starlink",53.15,9.96e-05,15.447,439.4,93.2,"LEO"
"STARLINK-1548",46054,"Starlink",53.16,0.0001704,15.317,477.9,94,"LEO"
"STARLINK-2364",47904,"Starlink",53.16,0.0001279,15.3172,477.8,94,"LEO"
"STARLINK-2395",47814,"Starlink",53.16,0.0002081,15.3331,473.1,93.9,"LEO"
"STARLINK-2450",48113,"Starlink",53.16,0.0001437,15.317,477.9,94,"LEO"
"STARLINK-2629",48686,"Starlink",53.16,0.0002426,15.3169,477.9,94,"LEO"
"STARLINK-30112",56306,"Starlink",43,0.0001158,15.2758,490.2,94.3,"LEO"
"STARLINK-30152",56828,"Starlink",43,7.9e-05,15.2758,490.2,94.3,"LEO"
"STARLINK-30328",57638,"Starlink",43,9.16e-05,15.2758,490.2,94.3,"LEO"
"STARLINK-30422",57826,"Starlink",43,0.0001461,15.2756,490.2,94.3,"LEO"
"STARLINK-30486",58009,"Starlink",43,0.0001585,15.2759,490.2,94.3,"LEO"
"STARLINK-30612",58106,"Starlink",53.16,0.000138,15.3439,469.9,93.8,"LEO"
"STARLINK-31070",58639,"Starlink",43,0.0001122,15.2758,490.2,94.3,"LEO"
"STARLINK-31422",59354,"Starlink",43,0.0001237,15.2756,490.2,94.3,"LEO"
"STARLINK-31490",59222,"Starlink",53.16,0.0001723,15.3439,469.9,93.8,"LEO"
"STARLINK-31590",59198,"Starlink",43,0.0001185,15.2757,490.2,94.3,"LEO"
"STARLINK-31759",59740,"Starlink",43,8.86e-05,15.2758,490.2,94.3,"LEO"
"STARLINK-32087",59702,"Starlink",43,9.87e-05,15.2761,490.1,94.3,"LEO"
"STARLINK-32441",61668,"Starlink",53.16,0.0001159,15.3352,472.4,93.9,"LEO"
"STARLINK-32495",62052,"Starlink",43,0.0002309,15.2759,490.1,94.3,"LEO"
"STARLINK-32725",62505,"Starlink",43,0.0001037,15.2759,490.1,94.3,"LEO"
"STARLINK-32780",62746,"Starlink",43,8.41e-05,15.2759,490.2,94.3,"LEO"
"STARLINK-32806",62735,"Starlink",43,0.0001329,15.2758,490.2,94.3,"LEO"
"STARLINK-32905",62923,"Starlink",43,9.39e-05,15.2758,490.2,94.3,"LEO"
"STARLINK-3304",50161,"Starlink",53.16,0.0001283,15.354,466.9,93.8,"LEO"
"STARLINK-33784",63453,"Starlink",53.16,9.84e-05,15.3441,469.8,93.8,"LEO"
"STARLINK-33865",64247,"Starlink",43,8.99e-05,15.2757,490.2,94.3,"LEO"
"STARLINK-33881",63779,"Starlink",43,0.0001146,15.2762,490.1,94.3,"LEO"
"STARLINK-34131",64182,"Starlink",53.16,0.0001044,15.302,482.4,94.1,"LEO"
"STARLINK-34175",64169,"Starlink",97.28,8.71e-05,15.3345,472.7,93.9,"LEO"
"STARLINK-34321",64267,"Starlink",53.16,9.76e-05,15.344,469.8,93.8,"LEO"
