"title","year","length","budget","rating","votes","mpaa","genre","n_genres"
"Corpse Grinders, The",1972,62,47000,2.6,153,,"Comedy",1
"Cotton Club, The",1984,127,47000000,6.2,2663,,"Drama",1
"Cotton Comes to Harlem",1970,97,1200000,6.2,204,,"Action",2
"Cotton Mary",1999,124,3500000,5.3,164,"R","Drama",1
"Count of Monte Cristo, The",2002,134,35000000,7.4,13907,"PG-13","Action",2
"Country of My Skull",2004,104,12000000,5.1,194,"R","Drama",1
"Cover Up",1991,87,7500000,3.3,193,,"Action",1
"Cowboys & Angels",2003,89,2000000,7.5,206,,"Comedy",2
"Cowboys, The",1972,128,6000000,6.9,1316,,"Other",0
"Cradle Will Rock",1999,132,32000000,6.7,3375,"R","Drama",1
"Craft, The",1996,101,15000000,5.9,9187,"R","Comedy",2
"Crash",2004,113,6500000,8.3,1660,"R","Drama",1
"Crazies, The",1973,103,275000,5.7,669,,"Action",2
"Crazy in Alabama",1999,111,15000000,6.1,2086,"PG-13","Comedy",2
"Crazy/Beautiful",2001,135,14000000,6.5,4503,"PG-13","Romance",2
"Creepshow 2",1987,92,3500000,4.9,1524,,"Comedy",1
"Crew, The",2000,84,23000000,5.3,1297,"PG-13","Comedy",1
"Crime Spree",2003,98,10000000,6.3,953,"R","Comedy",1
"Crimen del padre Amaro, El",2002,118,1800000,7,2469,"R","Romance",2
"Crimson Tide",1995,116,53000000,7.1,14033,"R","Action",2
"Critters 2: The Main Course",1988,93,4500000,4.2,1074,,"Comedy",1
"Crocodile Dundee in Los Angeles",2001,92,25000000,4.7,2698,"PG","Comedy",2
"Crocodile Hunter: Collision Course, The",2002,90,13000000,5.3,1648,"PG","Comedy",1
"Crooklyn",1994,115,14000000,6.2,1112,,"Comedy",2
"Cross of Iron",1977,119,6000000,7.3,2587,,"Action",2
"Crow, The",1994,98,15000000,7.2,20290,,"Action",1
"Crow: City of Angels, The",1996,84,13000000,3.8,3656,"R","Action",1
"Cruel Intentions",1999,97,11000000,6.5,25634,"R","Romance",2
"Cry of the Banshee",1970,87,500000,4.6,180,"R","Other",0
"Cujo",1983,93,5000000,5.4,2922,,"Other",0
"Curdled",1996,88,2309723,5.5,959,"R","Comedy",1
"Curly Sue",1991,101,30000000,4.7,2097,,"Comedy",2
"Curse of the Jade Scorpion, The",2001,103,26000000,6.8,5846,"PG-13","Comedy",2
"Curse of the Puppet Master",1998,77,250000,2.7,267,"R","Other",0
"Cutaway",2000,104,9000000,5.1,390,"R","Action",1
"Cutthroat Island",1995,119,92000000,5.1,3942,"PG-13","Action",2
"D.E.B.S.",2004,91,3500000,6,300,"PG-13","Action",2
"Daddy Day Care",2003,92,60000000,5.7,3803,"PG","Comedy",1
"Daisy Miller",1974,91,2000000,5.5,172,,"Drama",1
"Dances with Wolves",1990,236,19000000,7.8,28561,,"Drama",1
"Dangerous Lives of Altar Boys, The",2002,105,12000000,7.2,3274,"R","Drama",1
"Daredevil",2003,133,75000000,5.7,20642,"R","Action",1
"Dark Blue",2002,118,15000000,6.6,3882,"R","Action",2
"Dark City",1998,100,27000000,7.6,23508,,"Other",0
"Dark Star",1974,83,60000,6.6,3527,,"Comedy",1
"Darklands",1996,90,750000,4,103,,"Drama",1
"Darkman",1990,96,16000000,6.1,6130,,"Action",1
"Darkness Falls",2003,86,11000000,4.5,4928,"PG-13","Other",0
"Darling Lili",1970,107,25000000,5.9,287,,"Other",0
"Dawn of the Dead",1978,139,1500000,7.7,12621,,"Action",2
"Dawn of the Dead",2004,109,28000000,7.4,16283,"R","Action",2
"Day After Tomorrow, The",2004,124,125000000,6.3,23749,"PG-13","Action",2
"Day of the Animals",1977,97,1200000,4.2,158,,"Other",0
"Day of the Dead",1985,97,3500000,6.5,5053,,"Drama",1
"Daylight",1996,110,80000000,5.4,6979,"PG-13","Action",2
"Days of Thunder",1990,107,60000000,5.4,9660,,"Action",3
"Dead & Buried",1981,94,3000000,6.1,614,,"Other",0
"Dead Babies",2000,100,1000000,4.3,172,"R","Comedy",1
"Dead Hate the Living!, The",2000,90,150000,4.3,496,"R","Comedy",1
"Dead Heat",1988,86,5000000,4.8,470,,"Action",2
"Dead Man Walking",1995,122,11000000,7.6,16177,"R","Drama",1
"Dead Man on Campus",1998,96,14000000,5.4,2829,"R","Comedy",1
"Dead Man's Curve",1998,90,1000000,5.7,1241,"R","Comedy",2
"Dead Presidents",1995,119,15000000,6.3,2641,"R","Action",2
"Dead Zone, The",1983,103,10000000,7.2,6338,,"Drama",1
"Dead of Night",1974,88,235000,6,206,,"Other",0
"Death Race 2000",1975,79,300000,5.8,2909,,"Action",1
"Death and the Compass",1992,96,3500000,6,115,,"Drama",1
"Death to Smoochy",2002,109,55000000,6.3,8003,"R","Comedy",1
"Decline of Western Civilization, The",1981,100,100000,7.3,296,,"Documentary",1
"Deconstructing Harry",1997,96,20000000,7.1,7342,"R","Comedy",1
"Deep Blue",2003,91,5000000,7.2,363,,"Documentary",1
"Deep Blue Sea",1999,105,78000000,5.5,17666,"R","Action",1
"Deep End of the Ocean, The",1999,106,40000000,5.9,2890,"PG-13","Drama",1
"Deep End, The",2001,101,3000000,6.8,3524,"R","Drama",1
"Deep Impact",1998,120,75000000,5.9,22684,"PG-13","Drama",1
"Deep Rising",1998,97,45000000,5.4,4626,"R","Action",1
"Deep, The",1977,123,9000000,5.8,1565,,"Other",0
"Deer Hunter, The",1978,183,15000000,8.1,28210,,"Drama",1
"Deliverance",1972,109,2000000,7.8,14417,,"Drama",1
"Dellamorte Dellamore",1994,105,4000000,7.3,2313,"R","Romance",2
"Delusion",1991,88,1000000,6,242,,"Other",0
"Demon Knight",1995,92,12000000,6,2215,,"Other",0
"Demoni",1985,88,1800000,5.7,1188,,"Other",0
"Dentist II, The",1998,100,1800000,4.1,401,"R","Other",0
"Derailed",2002,89,18000000,3.4,1075,"R","Action",1
"Dersu Uzala",1975,141,4000000,8.1,2565,,"Drama",1
"Desert Hearts",1985,96,350000,6.4,608,,"Romance",2
"Desperate Living",1977,90,65000,7.1,598,,"Comedy",1
"Detention",2003,98,10000000,4.1,223,"R","Action",2
"Deterrence",1999,101,800000,6.6,796,,"Drama",1
"Detroit Rock City",1999,95,15000000,6,4607,"R","Comedy",1
"Deuces Wild",2002,100,10000000,5.3,1511,"R","Action",2
"Devil's Pond",2003,92,5000000,5.6,370,"R","Drama",1
"Diary of a Mad Black Woman",2005,116,5500000,3.9,837,"PG-13","Comedy",2
"Dick Tracy",1990,105,47000000,5.7,9939,,"Action",2
"Die Another Day",2002,133,142000000,6.4,22136,"PG-13","Action",1
"Die Hard",1988,131,28000000,8,58870,,"Action",1
"Die Hard: With a Vengeance",1995,131,90000000,7,25258,"R","Action",1
"Die xue jie tou",1990,126,3500000,7.6,1805,,"Action",2
"Different Loyalty, A",2004,96,13000000,5,135,"R","Romance",2
"Digimon: The Movie",2000,82,5000000,3.4,455,"PG","Animation",2
"Dill Scallion",1999,91,500000,5.1,136,"PG-13","Comedy",1
"Diplomatic Siege",1999,96,45000000,3.5,340,"R","Action",1
"Dirty Dancing",1987,100,6000000,5.9,14407,,"Romance",2
"Dirty Work",1998,82,13000000,5.9,4252,"PG-13","Comedy",1
"Divine Secrets of the Ya-Ya Sisterhood",2002,116,27000000,5.5,4288,"PG-13","Comedy",2
"Doctor Sleep",2002,108,10000000,6.2,609,"R","Other",0
"Dog of Flanders, A",1999,100,7000000,6,179,"PG","Drama",1
"Dom durakov",2002,104,2500000,6.8,382,"R","Drama",1
"Don Giovanni",1979,184,7000000,7.2,130,,"Other",0
"Don Juan DeMarco",1995,97,25000000,6.5,6857,,"Romance",3
"Donnie Brasco",1997,127,35000000,7.6,20029,"R","Drama",1
"Donnie Darko",2001,133,4500000,8.3,51961,"R","Drama",1
"Doppelganger",1993,104,3000000,4.1,481,,"Other",0
"Dorm That Dripped Blood, The",1981,84,90000,2.5,101,,"Other",0
"Double Jeopardy",1999,105,40000000,5.9,13587,"R","Drama",1
"Double Take",2001,91,24000000,4.8,1503,"PG-13","Action",2
"Double Tap",1997,87,8000000,5.3,184,"R","Action",1
"Doug's 1st Movie",1999,77,5000000,4.5,290,,"Animation",2
"Down by Law",1986,107,1100000,7.6,4449,,"Comedy",2
"Dr. Dolittle 2",2001,87,72000000,5.1,4920,"PG","Comedy",1
"Dragon: The Bruce Lee Story",1993,119,14000000,6.7,3244,,"Action",2
"Dragonfly",2002,104,60000000,5.8,5431,"PG-13","Drama",1
"Dragonslayer",1981,109,18000000,6.4,1965,,"Action",1
"Dream with the Fishes",1997,97,1000000,6.5,647,,"Comedy",2
"Dreamcatcher",2003,134,68000000,5.2,10403,"R","Other",0
"Drive",1997,117,3500000,6.4,1086,"R","Action",2
"Drive Me Crazy",1999,91,8000000,5.1,2934,"PG-13","Romance",3
"Driven",2001,116,72000000,4.4,7129,"PG-13","Action",2
"Driving Miss Daisy",1989,99,7500000,7.4,8656,,"Comedy",2
"Drop Squad",1994,86,2000000,3.9,150,,"Drama",1
"Drop Zone",1994,101,45000000,5.5,3104,,"Action",1
"Drugstore Cowboy",1989,100,2500000,7.4,4999,,"Drama",1
"Dudley Do-Right",1999,77,22000000,3.6,1790,"PG","Comedy",1
"Due occhi diabolici",1990,120,9000000,5.3,529,,"Comedy",1
"Duets",2000,112,15000000,5.8,2414,"R","Comedy",2
"Dumb & Dumber",1994,101,16000000,6.6,27713,"PG-13","Comedy",1
"Dumb and Dumberer: When Harry Met Lloyd",2003,85,19000000,3.3,4689,"PG-13","Comedy",1
"Dune",1984,190,45000000,6.3,16903,,"Action",1
"DysFunktional Family",2003,89,3000000,5.6,207,"R","Documentary",2
"E.T. the Extra-Terrestrial",1982,120,10500000,7.8,44175,"PG","Drama",1
"Earth Girls Are Easy",1988,100,10000000,5,3952,,"Comedy",1
"Earthquake",1974,140,7000000,5.2,2106,,"Action",2
"Eating Raoul",1982,87,350000,6.4,1351,,"Comedy",1
"Eban and Charley",2000,86,30000,4.5,110,,"Drama",1
"Edward Scissorhands",1990,105,20000000,7.7,27017,,"Romance",2
"Eight Legged Freaks",2002,99,30000000,5.5,6362,"PG-13","Action",2
"Eight Men Out",1988,119,6000000,7.3,3689,,"Drama",1
"Elektra",2005,96,43000000,4.9,5120,"PG-13","Action",1
"Elephant",2003,81,3000000,7.3,9203,"R","Drama",1
"Elephant Man, The",1980,124,5000000,8.2,16422,,"Drama",1
"Elf",2003,95,33000000,7,10165,"PG","Comedy",1
"Elizabeth",1998,124,25000000,7.6,14733,"R","Drama",1
"Elvira, Mistress of the Dark",1988,96,20000000,5.3,1238,,"Comedy",1
"Embrace of the Vampire",1994,93,800000,4.2,1551,"R","Other",0
"Emma",1996,121,6000000,6.9,6431,"PG","Romance",2
"Emperor's New Groove, The",2000,78,100000000,7.4,8532,,"Animation",2
"Empire",2002,90,3500000,6,1718,"R","Action",2
"Empire of the Sun",1987,154,38000000,7.5,9963,,"Drama",1
"En la puta vida",2001,103,1500000,6.9,117,,"Comedy",2
"End of Violence, The",1997,122,5000000,5.4,1575,"R","Drama",1
"End of the Affair, The",1999,102,23000000,7,4808,"R","Romance",2
"English Patient, The",1996,160,27000000,7.1,25210,"R","Romance",2
"Enough",2002,115,38000000,4.9,4339,"PG-13","Drama",1
"Entrapment",1999,113,66000000,6.1,18543,"PG-13","Romance",2
"Eraserhead",1977,89,10000,7.1,7207,,"Drama",1
"Erin Brockovich",2000,130,51000000,7.3,24301,"R","Drama",1
"Ernest Goes to Camp",1987,92,3000000,4.4,1562,,"Comedy",1
"Ernest Rides Again",1993,96,7000000,3.6,250,,"Comedy",1
"Ernest Saves Christmas",1988,95,6000000,4.6,1125,,"Comedy",1
"Escape from L.A.",1996,101,50000000,4.8,7955,"R","Action",1
"Escape from the Planet of the Apes",1971,98,2500000,5.8,2951,,"Action",2
"Espinazo del diablo, El",2001,108,4500000,7.4,3474,"R","Drama",1
"Eulogy",2004,91,10000000,6.5,773,"R","Comedy",2
"EuroTrip",2004,90,25000000,6.1,8390,"R","Comedy",1
"Evelyn",2002,94,10000000,7.1,1163,"PG","Drama",1
"Even Cowgirls Get the Blues",1993,99,8000000,4,1609,,"Romance",3
"EvenHand",2002,92,500000,7.3,169,"R","Drama",1
"Event Horizon",1997,96,70000000,5.7,15510,"R","Other",0
"Ever After",1998,121,26000000,7,10250,"PG","Romance",3
"Everlasting Piece, An",2000,103,14000000,6.1,475,"R","Comedy",1
"Everyone Says I Love You",1996,101,20000000,6.9,7314,"R","Romance",2
"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,87,2000000,6.7,4671,,"Comedy",1
"Evil Alien Conquerors",2002,89,500000,3.8,111,"PG-13","Comedy",1
"Evita",1996,134,55000000,6.2,8371,"PG","Drama",1
"Exorcist II: The Heretic",1977,118,14000000,3.5,3009,,"Drama",1
"Exorcist, The",1973,132,1000000,7.9,34162,,"Drama",1
"Expiration",2003,102,50000,6.6,206,,"Romance",2
"Extreme Measures",1996,118,38000000,5.9,3417,"R","Other",0
"Eye for an Eye",1996,101,20000000,5.6,1843,"R","Drama",1
"Eye of the Beholder",1999,109,15000000,4.5,5549,"R","Other",0
"Eyes Wide Shut",1999,159,65000000,7,37868,"R","Drama",1
"Eyes of Laura Mars",1978,104,7000000,5.8,1174,,"Other",0
"Face/Off",1997,133,80000000,7.1,37506,"R","Action",2
"Fair Game",1995,91,50000000,3.9,2579,"R","Action",3
"Faithful",1996,91,13000000,5.6,414,"R","Comedy",1
"Fall",1997,93,1000000,5.1,495,,"Romance",2
"Family Man, The",2000,125,60000000,6.5,11220,"PG-13","Romance",3
"Fan, The",1996,114,55000000,5.4,6920,"R","Other",0
"Fantasia/2000",1999,75,80000000,7.4,5353,,"Animation",1
"Far from Heaven",2002,107,13500000,7.7,9167,"PG-13","Romance",2
"Fargo",1996,98,7000000,8.2,65597,"R","Drama",1
"Fascination",2004,95,5000000,3.3,124,"R","Romance",2
"Fast Times at Ridgemont High",1982,90,4500000,7.1,10361,,"Comedy",1
"Fatal Attraction",1987,123,14000000,6.7,8541,,"Drama",1
"Father of the Bride Part II",1995,106,30000000,5.6,4089,"PG","Comedy",1
"Fathers' Day",1997,98,85000000,4.7,2714,"PG-13","Comedy",1
"Faust: Love of the Damned",2001,101,6000000,4.1,628,"R","Other",0
"Fear No Evil",1981,99,840000,3.9,127,,"Other",0
"Fear and Loathing in Las Vegas",1998,118,18500000,7.2,21484,,"Comedy",2
"FearDotCom",2002,101,42000000,3.2,5126,"R","Other",0
"Fedora",1978,114,6727000,6.2,271,,"Drama",1
"Fei ying",2004,99,15000000,5.5,128,,"Action",1
"Femme Fatale",2002,114,35000000,6.4,6083,"R","Other",0
"Festen",1998,105,1300000,8.2,11983,"R","Drama",1
"Fever Pitch",2005,98,39690000,6.6,1712,"PG-13","Romance",2
"Few Good Men, A",1992,138,33000000,7.5,25237,,"Drama",1
"Fiddler on the Roof",1971,181,9000000,7.6,5893,,"Drama",1
"Final",2001,111,80000,5.2,330,"R","Drama",1
"Final Destination",2000,98,23000000,6.6,16504,"R","Other",0
"Final Fantasy: The Spirits Within",2001,106,137000000,6.5,16451,"PG-13","Animation",2
"Finding Forrester",2000,136,43000000,7.3,13439,"PG-13","Drama",1
"Finding Graceland",1998,106,10000000,6.6,504,"PG-13","Drama",1
"Firefox",1982,136,21000000,5.5,3401,,"Action",1
"Firestarter",1984,101,15000000,5.6,2839,,"Other",0
"Firestorm",1998,89,19000000,4.4,987,"R","Action",1
"Firm, The",1993,154,42000000,6.6,14708,"R","Drama",1
"First Blood",1982,97,14000000,6.8,11956,,"Action",2
"First Great Train Robbery, The",1979,110,6000000,6.9,1758,,"Action",3
"First Knight",1995,134,75000000,5.6,8708,"PG-13","Romance",2
"First Love, Last Rites",1997,94,300000,5,147,"R","Romance",2
"Fisher King, The",1991,137,24000000,7.4,11952,,"Romance",3
"Fiza",2000,167,1000000,7.1,132,,"Drama",1
"Flash Gordon",1980,111,35000000,5.7,5626,,"Action",1
"Flawless",1999,112,27000000,6.1,3287,"R","Comedy",2
"Flesh & Blood",1985,117,6500000,6.3,2047,,"Action",2
"Flesheater",1988,88,60000,4.5,109,,"Other",0
"Flintstones in Viva Rock Vegas, The",2000,90,58000000,3.7,1712,"PG","Comedy",1
"Flintstones, The",1994,91,45000000,4.5,8704,,"Comedy",1
"Flirting with Disaster",1996,92,7000000,7,3986,,"Comedy",1
"Food of the Gods II",1989,91,3500000,1.9,173,,"Other",0
"Foreign Correspondents",1999,102,500000,7.6,117,"PG-13","Romance",2
"Forever Lulu",2000,99,20000000,5.5,257,"R","Romance",2
"Forgotten, The",2004,94,42000000,5.8,8234,"PG-13","Drama",1
"Forrest Gump",1994,142,55000000,8.2,89722,"PG-13","Comedy",2
"Forsaken, The",2001,90,5000000,5.1,1928,"R","Other",0
"Fortress",1993,95,12000000,5.3,2577,,"Action",1
"Four Weddings and a Funeral",1994,117,6000000,7.2,17820,"R","Romance",3
"Frailty",2001,100,11000000,7.4,10551,"R","Drama",1
"Frankenhooker",1990,85,2500000,5,520,,"Comedy",1
"Frankenstein",1994,123,45000000,6,6941,"R","Drama",1
"Fratello sole, sorella luna",1972,121,3000000,6.4,513,,"Drama",1
"Freaked",1993,86,11000000,5.4,920,,"Comedy",1
"Freaky Friday",2003,97,26000000,6.9,8052,"PG","Comedy",2
"Freddy Got Fingered",2001,87,15000000,3.5,9115,"R","Comedy",1
"Freddy's Dead: The Final Nightmare",1991,93,5000000,4.3,3618,"R","Comedy",1
"Free Money",1998,91,30000000,4.7,619,"R","Comedy",1
"Freedom Downtime",2001,121,25000,8,236,,"Documentary",1
"Freeway",1996,102,3000000,6.5,4961,"R","Drama",1
"French Connection, The",1971,104,1800000,7.8,11783,,"Action",2
"Frenzy",1972,116,3500000,7.3,3698,,"Other",0
"Frequency",2000,118,31000000,7.4,15317,"PG-13","Drama",1
"Friday",1995,91,3500000,6.7,7020,"R","Comedy",2
"Friday After Next",2002,85,20000000,4.9,1659,"R","Comedy",1
"Friday Night Lights",2004,117,30000000,7,4290,"PG-13","Drama",1
"Friday the 13th",1980,95,700000,5.8,7475,,"Other",0
"Friday the 13th Part 2",1981,87,1000000,4.9,3794,,"Action",1
"Friday the 13th Part 3: 3D",1982,91,4000000,4.3,3239,,"Other",0
"Friday the 13th Part VIII: Jason Takes Manhattan",1989,100,5000000,3.6,3248,,"Other",0
"Fright Night",1985,106,9000000,6.5,3601,,"Comedy",1
"Fritz the Cat",1972,80,1000000,5.8,1109,,"Animation",4
"From Dusk Till Dawn",1996,108,20000000,6.8,28473,"R","Action",2
"From Hell",2001,122,35000000,6.8,17292,"R","Other",0
"From Justin to Kelly",2003,90,12000000,1.7,6517,"PG","Romance",2
"Front Page, The",1974,105,4000000,7,1296,,"Comedy",1
"Fugitive, The",1993,130,44000000,7.7,48292,,"Action",2
"Fukkatsu no hi",1980,108,16000000,5.7,140,,"Drama",1
"Full Metal Jacket",1987,116,30000000,8.2,47757,,"Drama",1
"Full Monty, The",1997,91,3500000,7.2,22115,"R","Comedy",1
"Fury, The",1978,118,5500000,6,1524,,"Other",0
"G.I. Jane",1997,124,50000000,5.5,9116,,"Action",2
"G.O.R.A.",2004,127,5000000,7.2,1561,,"Comedy",1
"Gabbianella e il gatto, La",1998,75,6000000,6.8,134,,"Animation",1
"Galaxy Quest",1999,102,45000000,7.2,22341,"PG","Comedy",1
"Game of Their Lives, The",2005,101,20000000,6.4,125,"PG","Drama",1
"Gandhi",1982,188,22000000,8,15879,,"Drama",1
"Gangs of New York",2002,166,97000000,7.3,34808,"R","Drama",1
"Garage Days",2002,106,6000000,5.6,597,"R","Comedy",2
"Garden State",2004,109,2500000,8.1,23814,"R","Romance",3
"Garfield",2004,80,50000000,4.8,4775,"PG","Animation",2
"Gathering, The",2002,83,18000000,5.8,1033,,"Other",0
"Gatto a nove code, Il",1971,115,1000000,6.3,515,,"Drama",1
"Gatto nel cervello, Un",1990,93,100000,5.6,237,"R","Other",0
"Gauntlet, The",1977,109,5500000,6,2201,,"Action",2
"General's Daughter, The",1999,116,60000000,6.1,11128,"R","Drama",1
"George and the Dragon",2004,93,32000000,5.5,137,,"Action",3
"Get Over It",2001,87,10000000,5.7,3561,"PG-13","Romance",2
"Get Shorty",1995,105,30250000,7,14825,"R","Comedy",2
"Get on the Bus",1996,120,2400000,6.6,1142,"R","Drama",1
"Getaway, The",1972,122,3352254,7.3,2843,,"Action",2
"Gettysburg",1993,259,25000000,7.5,5191,,"Drama",1
"Ghost",1990,128,22000000,6.8,19005,,"Romance",2
"Ghost Busters",1984,107,30000000,7.5,29762,,"Comedy",1
"Ghosts of Mars",2001,98,28000000,4.6,6368,"R","Action",1
"Ghosts of Mississippi",1996,130,36000000,6.4,2268,,"Drama",1
"Ghoulies",1985,82,1000000,3.2,612,,"Comedy",1
"Gigli",2003,121,54000000,2.3,11285,"R","Romance",2
"Ginger Snaps: Unleashed",2004,94,3500000,6.6,1118,"R","Other",0
"Give My Regards to Broad Street",1984,108,9000000,4.1,320,,"Drama",1
"Gladiator",2000,155,103000000,8,92495,"R","Action",2
"Glitter",2001,104,22000000,2.1,5209,"PG-13","Romance",2
"Global Heresy",2002,106,12000000,5.7,373,"R","Drama",1
"Gloria",1999,108,30000000,4.9,1144,"R","Drama",1
"Glory",1989,122,18000000,8.1,21861,,"Action",2
"Go",1999,103,6500000,7.4,20663,"R","Comedy",1
"Go Fish",1994,84,15000,5.8,621,"R","Romance",1
"Go-Between, The",1970,118,1000000,7.3,454,,"Romance",2
"Goat on Fire and Smiling Fish",1999,90,40000,6.3,254,"R","Romance",2
"God's Army",2000,108,300000,6.4,354,"PG","Drama",1
"Godfather, The",1972,175,6000000,9.1,122755,,"Drama",1
"Godfather: Part II, The",1974,200,13000000,8.9,71363,,"Drama",1
"Godfather: Part III, The",1990,169,54000000,7.3,22385,,"Drama",1
"Gods and Generals",2003,209,56000000,5.7,3002,"PG-13","Action",2
"Gods and Monsters",1998,105,3500000,7.6,9020,"R","Drama",1
"Godspell",1973,103,1300000,6.1,586,,"Other",0
"Godzilla",1998,133,125000000,4.4,22695,,"Action",1
"Going Greek",2001,90,198000,4.8,261,"R","Comedy",1
"Golden Bowl, The",2000,130,15000000,6,1145,"R","Drama",1
"Gone Fishin'",1997,94,53000000,3.8,1884,"PG","Comedy",1
"Gong fu",2004,99,20000000,7.9,5299,"R","Action",2
"Good Burger",1997,103,9000000,4,1714,"PG","Comedy",1
"Good Man in Africa, A",1994,94,20000000,4.6,473,,"Comedy",1
"Good Morning, Vietnam",1987,119,13000000,7.1,13823,,"Comedy",2
"Good Will Hunting",1997,126,10000000,7.8,60858,"R","Drama",1
"Goodfellas",1990,145,25000000,8.6,68219,,"Drama",1
"Goonies, The",1985,114,19000000,7.2,18895,,"Comedy",1
"Gosford Park",2001,137,15000000,7.3,16831,"R","Drama",1
"Gothika",2003,98,40000000,5.8,10524,"R","Other",0
"Grace of My Heart",1996,116,5000000,6.5,982,"R","Comedy",2
"Graduation Day",1981,96,250000,3.5,153,,"Other",0
"Granny, The",1995,85,1000000,4.2,142,"R","Comedy",1
"Grave, The",1996,90,4000000,5.6,303,"R","Comedy",1
"Gravesend",1997,85,65000,5,111,"R","Drama",1
"Graveyard Shift",1990,89,10500000,3.8,1074,,"Other",0
"Grease",1978,110,6000000,6.8,22214,,"Romance",2
"Great Gatsby, The",1974,144,6500000,6.1,2419,,"Romance",2
"Green Mile, The",1999,188,60000000,8.1,60142,"R","Drama",1
"Gremlins 2: The New Batch",1990,106,50000000,5.9,7780,,"Comedy",1
"Grey Owl",1999,118,30000000,5.7,629,"PG-13","Drama",1
"Grey Zone, The",2001,108,5000000,7.3,1553,"R","Drama",1
"Grim",1995,86,1000000,1.6,228,"R","Other",0
"Grizzly",1976,97,750000,3.9,236,,"Other",0
"Groove",2000,86,500000,6,1171,"R","Drama",1
"Grudge, The",2004,92,10000000,5.9,11441,"PG-13","Other",0
"Grumpier Old Men",1995,101,25000000,6.2,3711,"PG-13","Romance",2
"Guerra de Canudos",1997,170,6000000,7.5,126,,"Drama",1
"Guerre du feu, La",1981,100,12500000,7.1,2059,,"Drama",1
"Guinevere",1999,104,2600000,6.3,804,"R","Romance",2
"Gun Shy",2000,101,10000000,5.4,1701,"R","Romance",2
"Guncrazy",1992,97,800000,5.5,437,,"Drama",1
"Guru, The",2002,94,11000000,5.9,3505,"R","Romance",2
"Guy Thing, A",2003,101,20000000,5.3,2885,"PG-13","Romance",2
"Guyver: Dark Hero",1994,127,900000,4.9,283,,"Action",1
"Habit",1997,112,200000,5.7,307,,"Other",0
"Hair",1979,121,11000000,6.8,4248,,"Comedy",2
"Hairspray",1988,92,2000000,6.6,2752,,"Comedy",2
"Half Past Dead",2002,98,30000000,3.9,2099,"PG-13","Action",1
"Halloween",1978,101,325000,7.7,19248,,"Other",0
"Halloween 4: The Return of Michael Myers",1988,88,5000000,5,3177,,"Other",0
"Halloween 5",1989,96,5000000,4.2,2597,,"Other",0
"Halloween H20: 20 Years Later",1998,85,17000000,5.3,8153,"R","Other",0
"Halloween II",1981,90,2500000,5.7,5157,,"Other",0
"Halloween: The Curse of Michael Myers",1995,88,5000000,4.2,2662,"R","Other",0
"Hamlet",1996,242,18000000,7.7,10065,,"Romance",2
"Hangin' with the Homeboys",1991,88,1900000,6.6,216,,"Comedy",2
"Hanging Up",2000,94,40000000,4.4,3129,"PG-13","Comedy",2
"Hangman's Curse",2003,106,2000000,4.9,405,"PG-13","Other",0
"Happiness",1998,134,3000000,7.7,11737,,"Comedy",2
"Happy Birthday to Me",1981,110,2250000,4.4,425,,"Other",0
"Happy, Texas",1999,98,1700000,6.4,3453,"PG-13","Comedy",1
"Hard Rain",1998,97,70000000,5.5,6161,"R","Action",2
"Hard Target",1993,73,15000000,5.4,4372,,"Action",1
"Hardware",1990,93,1500000,5.2,1323,"R","Action",1
"Harold and Maude",1971,91,1200000,7.9,9173,,"Romance",3
"Harry Potter and the Chamber of Secrets",2002,152,100000000,7.3,38394,"PG","Other",0
"Hart's War",2002,125,70000000,6.2,6368,"R","Drama",1
"Hav Plenty",1997,84,650000,5.3,256,"R","Comedy",1
"He Got Game",1998,137,25000000,6.6,4198,"R","Drama",1
"Head Over Heels",2001,86,14000000,4.9,2632,"PG-13","Romance",2
"Heart of Me, The",2002,96,7000000,6.2,336,"R","Romance",2
"Heartbeeps",1981,79,10000000,4.2,234,,"Comedy",1
"Heartbreakers",2001,110,40000000,6.2,8037,"PG-13","Romance",2
"Hearts in Atlantis",2001,101,31000000,6.7,6577,"PG-13","Drama",1
"Hearts of Fire",1987,95,17000000,3.3,107,,"Drama",1
"Heat",1995,188,60000000,7.9,44588,"R","Action",2
"Heaven & Earth",1993,140,33000000,6.4,1987,,"Action",2
"Heaven's Gate",1980,219,44000000,6.2,1439,,"Drama",1
"Heaven's Prisoners",1996,132,25000000,5.4,1405,"R","Other",0
"Heavenly Creatures",1994,108,5000000,7.7,11453,"R","Romance",2
"Heavy Metal",1981,90,9300000,6.2,4538,,"Animation",2
"Hedwig and the Angry Inch",2001,93,6000000,7.7,6072,"R","Romance",3
"Held Up",1999,89,8000000,4.6,555,"PG-13","Comedy",1
"Held for Ransom",2000,91,5000000,4.5,136,,"Other",0
"Hell's Kitchen",1998,95,6000000,4.5,491,,"Drama",1
"Hellboy",2004,132,66000000,6.7,15565,"PG-13","Action",1
"Hellraiser: Bloodline",1996,86,4000000,4.2,2041,"R","Other",0
"Henry V",1989,137,9000000,7.9,8241,"PG-13","Action",2
"Henry: Portrait of a Serial Killer",1986,78,111000,7.1,3067,,"Other",0
"Hercules",1997,92,70000000,6.6,5279,,"Animation",2
"Hey Arnold! The Movie",2002,76,10000000,4.8,425,"PG","Animation",2
